filename,Number of vehicles in accident,Accident Type,Person Injury?,Need for ambulance?,Need for firetruck?,Need for Police?,Types of vehicles involved,Fire?,Weather,Low Res/Bad Footage?
000053.mp4, 2, T-bone," Possibly, difficult to determine from the footage."," Possibly, based on the severity of the collision."," Unlikely, no fire is visible."," Yes, due to the traffic collision and potential injuries.", Dump Truck and Cement Truck/Mixer., No," Day, rainy.", Yes
000054.mp4, 2, T-bone, Possibly. The footage is too unclear to determine definitively.," Possibly. Due to the T-bone nature, it is possible.", Uncertain. A firetruck is already on the scene but unclear if related., Probably. Police are usually called for accidents of this type., Sedan and possible a van/small truck., No," Day, rainy.", Yes
000055.mp4,2,T-bone,Potentially yes (based on the nature of a T-bone collision),Potentially yes (given potential injuries),No (no visible signs of fire or entrapment),"Yes (standard for traffic accidents, especially with potential injuries)","At least one sedan, but the types of the other vehicles are not clear",No,"Day, clear",Yes
000056.mp4, 2, Intersection Collision (possibly involving a turning vehicle failing to yield or running a red light)," Yes (Based on the imagery, someone is on the ground after the collision)"," Yes (Likely, given the apparent injury to a pedestrian)", No (No indication of fire or need for extraction)," Yes (Standard for traffic accidents, especially with injuries)", Van/Minivan and Motorcycle/Scooter, No," Day, Clear"," Yes, the resolution is low and the video quality is not great."
000057.mp4, 2, T-Bone. The car from the right side collides in middle of the car already in the intersection., I cannot determine if there are any injuries., I cannot make this determination., I cannot make this determination.," Due to the nature of the accident, the police are most likely necessary.", It appears two sedans were involved in the accident., No," Night, wet roads.", Yes. The video has low resolution and quality.
000058.mp4, 2," T-bone (likely, based on vehicle trajectories)"," Yes (potential, given the accident type)"," Yes (potential, due to possible injuries)", No (no visible fire or smoke)," Yes (likely, to investigate the accident)"," Sedan, Unknown (motorcycle or scooter, potentially)", No," Night, likely clear", Yes
000059.mp4,  Potentially 2 (but impact not directly visible)., Cannot be determined with certainty. It appears one vehicle might have struck pedestrians at an intersection.,"  Potentially yes (based on the presence of pedestrians in the crosswalk, it looks like one of them may have been hit and is on the ground).", Likely yes (due to potential pedestrian injury).,"  No (based on the frames, there's no indication of fire or hazardous material).", Yes (likely required to investigate the accident and determine fault)., One sedan., No.," Night, weather appears clear."," Yes (the video is low resolution and somewhat blurry, making precise details difficult to ascertain)."
000060.mp4,2,T-bone,Likely yes (based on people gathering around the vehicles),Likely yes (due to the potential for injury),Likely no (no visible fire or indication of hazardous materials),Yes (given the severity of the collision and potential injuries),"Sedan, Sedan",No,"Night, weather unknown but streets are wet.",Yes
000061.mp4, 2, T-bone," Unknown, likely based on the force of impact.", Likely," Unknown, but possible if there is fire or significant vehicle damage requiring extrication."," Yes, to investigate the accident and determine fault.", Appears to be two sedans or one sedan and one taxi.," Yes, based on the flash of light"," Night, possibly rainy or wet based on the road surface."," Yes, the footage is low resolution."
000062.mp4,2,T-bone,Possibly (Unable to definitively determine from the image),"Possibly (Unable to definitively determine from the image, but likely given the severity)","Possibly (Unable to definitively determine from the image, but likely given the severity)",Yes,Sedans,No,"Night, clear",Yes
000063.mp4, 2, T-bone," Potentially yes (due to the severity of the impact, it is likely someone may be injured)"," Potentially yes (given the type of accident, it is likely needed)", Potentially no (There is no immediate indication of fire.), Yes (Police are present with lights flashing)., SUV/minivan and sedan, No," Night, assumed clear.", Yes (footage is low resolution)
000064.mp4, 2, T-bone," Cannot determine with certainty, but likely based on the impact."," Likely, given the severity of the impact."," Possibly, but not indicated by the footage."," Yes, due to the severity of the accident and potential injuries.", Looks like two vans or similar sized vehicles., No.," Night, weather appears clear.", No.
000065.mp4, 2, T-bone, Unknown (unable to determine from the video), Unknown (unable to determine from the video), No, Likely (due to the nature of the collision), Van and sedan, No," Day, snowy/overcast", Yes
000066.mp4, 2, T-Bone," Likely yes, but not certain"," Likely yes, but not certain", No, Yes,  Potentially both sedans., No," Night, snow", Yes
000067.mp4, Cannot determine from the information provided., Cannot determine from the information provided., Cannot determine from the information provided., Cannot determine from the information provided., Cannot determine from the information provided., Cannot determine from the information provided., Sedans, No," Night, likely clear", Yes
000068.mp4, 4, Chain reaction rear-end collision.," Unknown from the video, but possible.","  Likely, but cannot confirm from footage.", No, Yes," SUV, sedan, box truck, dump truck", No, Day/Clear, No
000069.mp4, 2, Train vs Truck," Likely yes, given the severity of the impact."," Yes, highly likely due to the potential for serious injuries."," Possibly, depending on the extent of damage and the presence of any hazards (e.g., fuel spill)."," Yes, to investigate the accident, manage traffic, and file a report.", Train and Truck," Not visible in the frames, but possible."," Day, clear."," Yes, the footage is low resolution and grainy."
000070.mp4, 2, Side impact/angle impact (based on the vehicles appearing to collide at an angle).," Cannot determine with certainty from the images, but I would assume there is injury.","  Cannot determine with certainty from the images, but I would assume so.", No (There is no indication of fire or hazardous material spill.)," Yes (Given the collision, police involvement is likely for investigation and reporting.)", SUV and Truck, No," Day, snowy", No
000071.mp4," Unable to determine. The image shows a roundabout with multiple vehicles, but it's unclear if any are involved in an accident.", Unable to determine., Unable to determine., Unable to determine., Unable to determine., Unable to determine.,"  School bus, sedans, motorcycle. Additional cars and vans are too far away to classify.", No.," Day, weather appears clear.", Yes. The resolution is low and the image quality is poor.
000072.mp4," 0 (Based on the image, there is no visible accident)", N/A, No, No, No, No," Cars, Van", No," Day, unclear/possibly wet roads", Yes
000073.mp4, 0 (There does not appear to be an accident in this image.), N/A, no, no, no, no," Bus, van, sedan, and possibly a small hatchback or sedan type vehicle in the distance.", no," Daytime, clear", yes
000074.mp4, 2,  T-Bone (based on the apparent position of the vehicles), Undetermined (cannot be determined from image alone), Undetermined (cannot be determined from image alone), No (no visible fire),  Likely yes (based on the apparent nature of the accident)," Sedan, Motorcycle", No," Night, weather is unclear", Yes
000075.mp4, 2 (It appears there are two vehicles involved in the incident)," T-bone (Based on the position of the vehicles, it looks like a vehicle crashed into the side of another)"," Likely Yes (Given the type of accident and the presence of people near the vehicles, injuries seem plausible)", Likely Yes (Due to the potential for injuries), No (There is no indication of fire or need for rescue), Yes (To investigate and manage the incident)," Car, scooter (One appears to be a car, the other a scooter)", No (There is no visible fire)," Day, clear (It is daytime and the weather appears to be clear)", Yes (The image is low resolution and the video is of poor quality)
000076.mp4,Cannot determine from the available information.,Cannot determine from the available information.,Cannot determine from the available information.,Cannot determine from the available information.,Cannot determine from the available information.,Cannot determine from the available information.,"Auto Rickshaw, motorcycle, sedan",no,"Day, clear",yes
000077.mp4, 0, None, No, No, No, No, None, No," Night, cannot determine weather from the footage.", Yes
000078.mp4, 2, Likely T-bone or angle collision.," Unknown, but possible."," Unknown, but possible.", No., Likely.," Car, Motorcycle/Scooter", No," Night, clear.", Yes.
000079.mp4, 1,  Likely collision of a bus into a line of cars.,"  Potentially yes, due to impact."," Potentially yes, due to the bus vs car incident."," Likely no, based on current information."," Likely yes, due to the bus versus car."," Bus, vans, sedans, motorcycles", No.," Day, weather appears clear"," Yes, low resolution and some obstruction."
000080.mp4,2,Appears to be a broadside/angle collision (T-bone is a possibility but hard to confirm),Yes (based on individuals down on the crosswalk),Yes (due to apparent injuries),No (no visible fire or indication of entrapment),Yes (due to the accident and injuries),Motorcycle/scooter and possibly an auto rickshaw,No,"Day, clear",Yes
000081.mp4,2,T-bone,Yes,Yes,No,Yes,Motorcycle and Car,No,"Day, clear",Yes
000082.mp4, 1 (possibly more involved in a chain reaction)," Unknown. The image does not clearly show an accident in progress. Based on the proximity of vehicles, the accident may be a side scrape.", Unknown. The image quality is insufficient to determine if anyone is injured., Unknown., No.," Possibly. Given the congestion, it is likely authorities would need to arrive to maintain control of the traffic."," Auto Rickshaw. Potentially others, but obscured.", No.," Day, clear.", Yes.
000083.mp4, 2, T-bone (based on the visible positions of the vehicles), Cannot determine from the image., Cannot determine from the image., Cannot determine from the image., Cannot determine from the image., SUV and sedan., No.," Night, weather conditions are not discernible.", Yes.
000084.mp4, 0 (I see no accident), N/A (No accident present), no, no, no, no," N/A (no accident, just a bunch of mixed vehicle types like sedans, SUVs, trucks, busses, motorcycles, and auto rickshaws)", no," Day, clear", yes
000085.mp4, 2," Appears to be an intersection collision, potentially a T-bone or near T-bone type of impact, but the low resolution makes it hard to determine.", Possibly yes. There's a person on the motorcycle on the ground.," Probably yes, given the potential for injury to the motorcycle rider."," Unlikely, based on the visual information provided."," Likely yes, to investigate the accident and determine fault.", A small car (possibly a hatchback or compact) and a motorcycle., No.," Day, appears to be clear.", Yes.
000086.mp4," Potentially 2, although it's difficult to definitively say if they are involved in an accident.", Undetermined. The image quality is too poor to determine the type of collision., Unknown. I cannot determine this from the image., Unknown., Unknown., Unknown., Potentially a truck or heavy vehicle and possibly a car or other vehicle., No.," Night, weather is unclear.", Yes.
000087.mp4, 2, T-bone, Likely yes., Likely yes., No., Yes.," Sedan, Motorcycle", No.," Day, clear.", Yes.
000088.mp4, Impossible to tell from image., Impossible to determine from this video, Unknown., Unknown., Unknown., Unknown.," Sedans, SUVs/Vans, Buses, Motorbikes.", No.," Daytime, likely clear or partly cloudy.", Yes. The footage has low resolution and some blurriness.
000089.mp4," Unable to determine, but I do see tire marks on the pavement, suggesting a car was speeding and driving around this roundabout.", Unknown due to limited visibility., Unable to determine., Unable to determine., Unable to determine.," Possibly, due to the possibility of reckless driving of the vehicle involved."," Sedans, SUVs, Motorcycles, Trucks, and other types of vehicles are visible in the area.", No.," Daytime, clear weather.", Yes.
000090.mp4, 2, T-bone, Likely yes, Likely yes, No, Likely yes," Van, Motorcycle", No," Day, clear", Yes
000091.mp4, 2, Possible T-bone or angle collision.," Cannot determine with certainty, but potential for injury is possible.", Cannot determine with certainty., No., Likely., Sedan and motorcycle., No.," Daytime, weather appears to be clear.", Yes.
000092.mp4,1 (though technically it impacted a pole),Single vehicle collision with a utility pole.,Unknown (cannot determine from the images),Unknown (cannot determine from the images),Possibly (likely needed for downed power lines and potential hazards).,"Yes (accident investigation, traffic control).",Large truck (possibly a commercial truck),No (no visible flames),"Day, overcast/potentially wet.",No (the footage is clear enough to discern details)
000093.mp4, 2, Appears to be a possible rear-end collision between a vehicle and a motorcycle.," Likely yes, given the nature of the accident"," Likely yes, for assessment and possible treatment."," No, there's no visible fire or indication of the need for a firetruck."," Likely yes, to investigate the accident and file a report."," Motorcycle, truck", No.," Daytime, Wet/Rainy"," Yes, the footage is low resolution."
000094.mp4, 0, No accident is observed., No, No, No, No," SUVs, trucks, vans, sedans.", No," Day, clear.", Yes
000095.mp4, 2, Truck T-Bone," Possibly, undetermined.", Probably.," Possibly, undetermined.", Yes., Semi-truck and sedan., No.," Day, clear.", Yes
000096.mp4,2,Rollover (possibly involving initial contact with another vehicle or barrier),Likely yes (due to the severity of the rollover),Likely yes,"Possibly yes (due to the potential for fire or hazardous material spill, and the need for extrication)","Yes (for traffic control, accident investigation, and reporting)","Likely a box truck or similar commercial vehicle, and potentially a sedan or other vehicle that may have initially been involved.",No (but there is smoke or dust from the crash),"Day, clear",Yes (the resolution is low and the footage is somewhat grainy)
000097.mp4, 2, It appears to be a broadside or t-bone type accident between a scooter and a white van.," Based on the image, it is likely a person was injured. It appears that a pedestrian is on the ground."," Yes, it's likely an ambulance is needed due to the potential for injury."," No, there's no indication of a fire."," Yes, police involvement would be standard for accident investigation and traffic control.", Scooter and a van., No.," Daytime, rainy or wet conditions."," Yes, the footage is low resolution and somewhat blurry, making definitive assessment difficult."
000098.mp4, 0. There is no accident occurring in the frame., N/A, no, no, no, no," There are several vehicles visible: vans, sedans, and at least one motorcycle.", no, Night; Wet or possibly just damp due to reflections.," Yes, the footage is low resolution."
000099.mp4," 0 (Based on the video, there is no visible accident. Only one truck is seen.)", None (No accident is visible.), No (No indication of injury), No (No visible reason), No (No visible reason), No (No visible reason), 1 (Truck), No," Night, weather unclear (due to the darkness and resolution)", Yes
000100.mp4, 0, No accident, No, No, No, No," Sedans, van, bus", No," Day, Rainy", Yes
000101.mp4,2,T-bone,Yes,Yes,No,Yes,Van and Minivan,No,"Day, clear",Yes
000102.mp4, 2, Rear-end, Unknown, Unknown, No, Likely," Sedan, Sedan", No," Day, Wet", Yes
000103.mp4, 2, T-Bone (most likely based on vehicle positioning in frame), Unknown, Unknown, Unknown, Unknown, Sedan and minivan., No," Daytime, clear weather", Yes
000104.mp4," 0 (Based on this single frame, there's no evidence of an accident.)", N/A (No accident is visible)," No (Based on this single frame, there's no evidence of injuries)"," No (Based on this single frame, there's no evidence of a need for an ambulance)"," No (Based on this single frame, there's no evidence of a fire or a need for a firetruck)"," No (Based on this single frame, there's no evidence of a need for police)", One van/taxi is visible., No," Night, wet (likely raining)", Yes
000105.mp4," It's difficult to say for sure based on this single frame, but it *appears* there may be two vehicles involved in a possible incident in the middle of the intersection."," Potentially T-bone, however, the resolution obscures the details."," Difficult to assess from the frame. I would presume yes, given a pedestrian appears to be involved in the crash."," Yes, based on a pedestrian involved."," No, based on visual assessment; unlikely unless there is additional information about the incident."," Yes, based on a potential collision in the intersection.", Based on what can be seen: * Potentially a sedan and a SUV.," No, no signs of fire."," Daytime, and the weather looks *potentially* overcast or rainy based on the muted lighting."," Yes, the footage is low resolution and blurry, making a definitive assessment difficult."
000106.mp4, 2, T-bone, Yes (Based on the motorcycle rider falling off and visible impact)," Yes (Likely, given the apparent injury)", No (No visible signs of fire or other hazards requiring fire department), Yes (Likely needed for accident investigation), Motorcycle and a Red car (looks like a small SUV), No," Day, clear", Yes
000107.mp4, 0 (I see no accident in the images), N/A, No, No, No, No," Cars, van, taxi", No," Day, rainy", Yes (low resolution)
000108.mp4,2,T-bone,Likely yes (given the ambulance present),Yes (ambulance is visible in frame),Unlikely (no fire is visible),Likely yes (standard procedure for accidents),Two sedans,No,"Daytime, rainy or wet conditions",Yes
000109.mp4, 2," Appears to be a side impact, possibly a T-bone collision.", Cannot determine from the image., Cannot determine from the image., Cannot determine from the image., Cannot determine from the image., Bus and sedan., No.," Night, unclear weather (appears possibly wet/damp roads).", Yes.
000110.mp4,2,T-bone,Yes,Yes,No,Yes,"Sedan, sedan",No,"Day, clear",Yes
000111.mp4, 2, T-Bone," Unable to determine due to image quality, but potentially yes.", Possibly yes., Possibly yes., Yes., SUV and Sedan., Yes," Night, wet (rainy/slippery conditions)", Yes
000112.mp4," 0 (Based on the single image, there is no visible accident.)", N/A (Since there is no accident), No (No visible injuries in this single frame), No (No indication of need), No (No indication of fire or need), No (No accident visible in the frame)," Sedan, Truck", No (No fire visible)," Day, Clear (Appears to be daytime with clear weather)", Yes (The image is of low resolution and grainy)
000113.mp4,2 (possibly more partially obstructed),It appears to be a side-impact or near side-impact collision. Potentially vehicles were merging or attempting a left turn in front of oncoming traffic.,Unknown. The footage alone cannot determine if injuries occurred.,Undetermined. The video does not offer enough information.,Unknown. There is no fire visible and impact does not appear severe.,Likely. Accidents involving vehicles on public roads usually require police presence for investigation and documentation.,"Based on appearance, the vehicles may be sedans and taxis.",No.,Night; wet conditions (likely raining or recently rained).,"Yes, it is low resolution and does not provide clear details."
000114.mp4, 2 (Two), T-Bone (Based on the vehicles' orientation and likely point of impact)," Likely Yes (Based on the type of accident, but it's impossible to say for sure from the video.)", Likely Yes (Due to the potential for injuries in a T-Bone collision.)," Unlikely No (There is no visual indication of a fire or the need for extrication, but it is possible)", Yes (Accidents involving potential injuries and property damage typically require police involvement.)," Sedan, Sedan (Possibly hatchback based on the rear window angles)", No (No visual indication of fire.)," Night, Wet (Appears to be nighttime, and the road surface suggests wet conditions.)"," Yes (The footage is grainy and low resolution, making it difficult to discern details clearly.)"
000115.mp4, 2, Side-swipe/Merge, Unknown, Unknown, No, Possible," Sedan, Compact Car/Hatchback", No," Day, Clear", Yes
000116.mp4, It is not evident that an accident has occured., Cannot determine., Cannot determine., Cannot determine., Cannot determine., Cannot determine.," Potentially sedan, and SUV,", No.," Night, appears to be wet/rainy conditions (reflected lights on the road).", Yes.
000117.mp4, 2, T-bone, Unknown, Unknown, No, Unknown," Hatchback, Sedan", No," Day, clear", Yes
000118.mp4, 2, T-bone (appears the motorcycle collided with the side of the van), Likely yes (given the nature of motorcycle accidents), Likely yes, Likely no, Likely yes," Motorcycle, Van", No," Day, clear weather", Yes
000119.mp4, 2, Side Impact (T-Bone), Cannot determine from the video., Cannot determine from the video., No," Probably Yes, due to the accident.","  Sedan, SUV/Minivan", No," Day, Rainy", Yes
000120.mp4," 0 (Based on the frames, there is no visible accident.)", None, No, No, No, No," Sedan, Van, Light-Colored Car", No, Day/Rainy, Yes
000121.mp4, 1, The bus is going through the intersection, Undetermined, Undetermined, No, Undetermined, Bus, No," Day, clear", Yes
