filename,Number of vehicles in accident,Accident Type,Person Injury?,Need for ambulance?,Need for firetruck?,Need for Police?,Types of vehicles involved,Fire?,Weather,Low Res/Bad Footage?
000046.mp4, 2, T-bone, Potentially yes (based on the impact and possible vulnerability of the motorcycle rider), Possibly yes (due to potential injuries to the motorcycle rider), No (no visible fire), Yes (traffic accident)," Sedan, Motorcycle", No," Day, clear weather"," Yes (the footage is of low resolution, making it difficult to ascertain details)"
000047.mp4,2,T-bone,Likely yes (based on the severity of the impact),Likely yes,No (no fire is visible),Yes,SUV and Sedan,No,"Day, clear",No
000048.mp4, I cannot be sure if there is a traffic incident at all as there is no clear damage or crash shown. It is possible there are 2 vehicles involved., Potentially sideswipe., I cannot determine person injury from the images., I cannot determine if an ambulance is needed., I cannot determine if a firetruck is needed., It is possible police assistance is needed., The vehicles include sedans and pickup trucks., No.," Daytime, possibly clear weather.", Yes.
000049.mp4," Possibly 1, difficult to determine.", Unknown but looks like a pedestrian hit by a vehicle., Yes, Yes, No, Yes," Potentially a pedestrian and motorcycle, unknown", No," Day, clear", Yes
000050.mp4, 2, T-bone," Possibly, but not definitive."," Maybe, given the nature of the collision."," No, based on the video.", Yes., 2 SUVs, No," Day, likely clear."," Yes, the footage is low resolution."
000051.mp4, 2, T-bone, Yes, Yes, No, Yes," Sedan, Motorbike", No," Day, clear", Yes
000052.mp4, 2, T-bone, Likely yes, Likely yes, Unlikely, Likely yes, Two sedans, No," Day, clear", Yes
000053.mp4, 2, T-bone, Unknown, Unknown, Unknown, Likely," Dump Truck, Concrete Mixer Truck", No," Day, Rainy", Yes
000054.mp4, 2, T-bone," Unclear (Likely, but not definitively visible)", Likely (Due to T-bone collision), Yes (Firetruck already present), Likely (For accident investigation)," Sedan, mini van.", No," Day, Rainy", Yes
000055.mp4, 0 (There is no visual indication of an accident occurring in these frames. Traffic is moving through an intersection.), Not Applicable (no accident), No (no accident), No (no accident), No (no accident), No (no accident)," The images show a variety of vehicle types, including sedans, a van, what appears to be a taxi, and possibly other cars.", No (no accident)," Day, clear weather."," Yes, the footage is of low resolution."
000056.mp4, 2, Intersection/Cross traffic accident (possible angle/t-bone type)," Likely yes, based on the final position of the person and the motorcycle."," Likely yes, due to the probable person injury.", No," Yes, due to the accident and possible injuries.","  Van, Motorcycle", No," Day, clear weather"," Yes, the resolution is low, making it difficult to fully assess the situation."
000057.mp4, 2, T-bone," Potentially yes (based on the severity of the impact, injury is possible).", Potentially yes (due to the potential for injury)., No (no visible fire or smoke)., Yes (due to the collision and potential for legal/insurance implications)., Sedan and SUV (or hatchback), No," Night, wet road surface, likely clear conditions.", Yes
000058.mp4, 2 (based on the initial observation of vehicles approaching each other), Potential T-bone (inferred from the vehicle trajectories in the intersection), Cannot determine from the footage., Cannot determine from the footage., Cannot determine from the footage.," Probably, given it's a traffic accident.", Appears to be a sedan and another car or motorcycle., No," Night, possibly raining or wet conditions.", Yes.
000059.mp4," 0 (Based on the frames provided, there is no visible accident occurring)", N/A, no, no, no, no," Taxi, Sedan, SUV", no," Night, clear (assumed)", yes
000060.mp4, 2," T-bone (likely, but partially obscured)", Possibly yes (people exiting the vehicles and appearing to assess damage), Potentially yes (based on possibility of injury), No (no fire is visible), Likely yes (due to the accident involving multiple vehicles), Sedan (light-colored) and another sedan (darker colored), No," Night, wet (street appears reflective)"," Yes (poor image quality, difficult to discern details)"
000061.mp4, 2, T-bone. One vehicle crossed the intersection., Likely yes. T-bone collisions tend to cause injury., Yes., Possible. Smoke can be seen after the accident., Yes., Sedan and taxi., Yes. Smoke appears immediately after impact.," Night, possibly wet due to the street's reflective appearance.", Yes.
000062.mp4, 2, T-bone (appears to be), Possibly yes (based on the potential severity of a T-bone collision), Probably yes, Potentially yes (depending on the severity and potential for fire), Yes (standard procedure for accidents), Appears to be sedans., No (not visible in the frames)," Night, weather unknown (appears clear based on visibility)", Yes
000063.mp4, 2, T-Bone, Potentially Yes (due to the severity of the impact and the need for emergency services), Yes, Unknown (it is possible due to accident of this severity)., Yes," SUV/Minivan, Sedan", No," Night, Weather Unknown", No
000064.mp4, 2, T-bone, Likely yes (given the severity of the impact), Yes," Possibly, depends on the extent of damage and potential hazards.", Yes (to investigate the accident and determine fault), Vans and Car, No," Night, unclear weather (appears clear but possible presence of moisture)", No
000065.mp4, 2, T-bone," Unknown, but possible."," Possible, due to the nature of the collision.", Unlikely., Likely.," One appears to be a sedan, and the other looks like a van.", No.," Day, snowy conditions.", Yes.
000066.mp4, 2, T-Bone, Likely yes, Likely yes, Likely no, Likely yes," Sedan, Sedan/SUV", No," Night, snowy", Yes
000067.mp4," 0 (Based on the frames, there is no accident occurring)", N/A, no, no, no, no, Sedans, no," Night, Clear", yes
000068.mp4, 4, Chain reaction/multiple vehicle collision. Difficult to ascertain primary cause between vehicles without more information, Possibly yes (hard to tell from footage but potential for injury is high)., Likely yes., Possibly yes, Yes.," Pickup truck, sedan, small cargo truck, large truck.", No.," Daytime, clear weather.", Yes. (Limited clarity)
000069.mp4, 2, Train-truck, I cannot determine this from the images., I cannot determine this from the images., I cannot determine this from the images., It is likely police are needed to investigate," Train, Truck", No," Day, overcast/frosty", No
000070.mp4, 2," Appears to be a side impact, possibly a T-bone.", Cannot determine from the images., Cannot determine from the images., Cannot determine from the images., Likely., SUV and truck., No.," Day, overcast or snowy weather.", Yes.
000071.mp4," It's difficult to definitively say if an accident occurred, due to the distance and low quality of the image. If an accident has occurred, one would have to assume 2 vehicles at most based on the frame."," Again, impossible to determine from this footage.", Unknown due to video limitations., Unknown due to video limitations., Unknown due to video limitations., Unknown due to video limitations., The vehicles visible include:, No.," Daytime, appears to be clear weather.", Yes.
000072.mp4," 0 (Based on the visible frames, there is no accident occurring.)", N/A (No accident present)," No (Based on the absence of an accident, there are no visible injuries.)", No, No, No," The footage shows: several sedans, a van, and a possible motorcycle/scooter.", No," Day, and it appears to be possibly overcast or rainy based on the wet road."," Yes, the footage is of low resolution and the image quality is poor."
000073.mp4, 0 (There is no accident in the frames provided. Only vehicles moving within the frame.), N/A, No, No, No, No," Van, Bus, Sedan.", No," Day, clear", Yes
000074.mp4, 2," T-Bone (likely, based on vehicle positions)", Unknown (Cannot determine from the image), Unknown (Cannot determine from the image), No (No visible fire or smoke), Likely (Accidents typically require police involvement for documentation)," Sedan, Scooter/Motorcycle", No," Night, Weather unknown but appears clear.", Yes
000075.mp4, 2 (Based on what appears to be a collision in the center of the frame)," Difficult to determine definitively, but it appears to be an intersection collision, possibly a T-bone or angle collision.", Undetermined. The image does not provide enough information to determine if there are injuries., Undetermined. The need cannot be determined from the image., No (no visible fire or smoke)," Likely, given the visible collision.", Appears to involve at least one Sedan or SUV and possibly a motorcycle., No," Day, clear weather."," Yes, low resolution, potentially making detailed analysis difficult."
000076.mp4, Cannot determine, Cannot determine, Cannot determine, Cannot determine, Cannot determine, Cannot determine," Auto Rickshaws (Tuk-Tuks), Motorcycles/Scooters, Cars, Bus, Van", No," Day, likely clear", Yes
000077.mp4, 1, Pedestrian collision, Likely yes (due to the presence of pedestrians at the crossing), Likely yes (given the potential for pedestrian injury), Likely no, Likely yes (due to the accident and potential injuries)," Potentially a car, with two pedestrians present", No," Night, likely clear (based on visibility)", Yes
000078.mp4, 2," T-bone (likely, based on the car's position in the intersection).", Unknown., Unknown., No.," Yes (likely, due to the nature of the accident)."," Car, Motorcycle", No.," Night, unclear weather conditions.", Yes.
000079.mp4, 2," Appears to be a side-impact, possibly a turning-related collision where the bus may have struck a car."," Possibly, due to the nature of the accident. But the image quality makes it hard to say."," Possibly, due to the nature of the accident. But the image quality makes it hard to say."," No, no indication of fire."," Yes, Accidents involving buses and potential injury should be investigated by the police."," Bus, and small dark colored car/sedan", No," Day, clear.", Yes.
000080.mp4, 2, Angle / Side Impact (potentially t-bone depending on trajectories), Yes (people are on the ground with blood), Yes (due to visible injuries), No (no visible fire or smoke), Yes (due to accident involving injuries)," Motorcycle/Scooter, Tricycle", No," Day, clear", Yes
000081.mp4, 2, T-bone, Yes, Yes, No, Yes, Motorcycle and Sedan, No," Day, Clear", Yes
000082.mp4, 2 (potentially more with obscured views), Angle/T-bone collision appears most likely based on the vehicle positions.,"  Cannot determine with certainty based on this image, but the gathering of people could indicate possible injuries."," Cannot determine with certainty, but the gathering of people could indicate a potential need."," Unlikely, as there's no visible indication of fire."," Likely, given the presence of an accident at an intersection and the gathering of people."," Auto rickshaw (tuk-tuk), possibly a van or small bus, and potentially other obscured vehicles.", No.," Daytime, clear weather."," Yes. The image is low resolution, making it difficult to discern details."
000083.mp4, 2, It is difficult to determine based on only one image but it appears to be a side impact collision or a t-bone., Unknown., Unknown., Unknown., Unknown., SUV and sedan, No.," Night, weather unknown but appears clear.", Yes.
000084.mp4," 0 (Based on the single frame, there is no visible accident occurring. All vehicles appear to be in motion or stopped in traffic.)", None Visible," No (Based on the video, no accident, no injuries.)"," No (Based on the video, no accident, no injuries.)"," No (Based on the video, no fire or accident requiring a fire truck.)"," No (Based on the video, no accident needing police.)",, No," Day, Clear (Appears to be daytime with clear weather conditions.)", Yes (The image quality is poor and lacks detail.)
000085.mp4, 2," Angle or ""T-Bone"" type of accident appears most likely."," Difficult to determine. Potentially yes, given the impact."," Maybe. Due to the likely injury, it may be needed.", Unlikely., Probably. Given the accident and potential injuries., Car/SUV and Motorcycle/Scooter., No.," Daytime, weather appears clear.", Yes.
000086.mp4, Potentially 2 (based on visible headlights and vehicle shapes), Unable to determine from this image., Unable to determine from this image., Unable to determine from this image., Unable to determine from this image., Unable to determine from this image., Possible truck/heavy vehicle and another vehicle., No.," Night, weather unclear, potentially foggy.", Yes.
000087.mp4, 0, N/A, no, no, no, no," Sedan, Van, Motorcycles.", no," Day, Clear.", yes
000088.mp4," 0 (Based on the given frames, there is no accident occurring.)", N/A, No, No, No, No," Sedan, van, bus, motorcycles, bicycle.", No," Day, clear weather.", Yes
000089.mp4, 0 (There is no visible accident), N/A, No, No, No, No," Sedans, SUVs, Trucks, Motorbikes", No," Day, Clear", Yes
000090.mp4, 2 (likely)," T-bone (most probable, given the positioning of vehicles)", Likely yes (due to the severity of a t-bone and the potential involvement of vulnerable road users), Yes (given the likelihood of injuries), Possibly (depending on the severity and potential for vehicle damage/entrapment), Yes (accident investigation and traffic management)," Likely a sedan/car and possibly a small truck, van or auto-rickshaw.", No (no visible signs of fire or smoke)," Day, likely clear or slightly hazy (visibility appears decent)"," Yes (image quality is poor, making precise identification difficult)"
000091.mp4, 1 (It appears only one vehicle is involved in the incident), Appears to be an accident with a pedestrian.," Unknown, but possible"," Possibly, based on the potential for pedestrian injury.", No," Likely, to investigate the incident.", Sedan., No," Day, clear"," Yes, the footage is low resolution."
000092.mp4, 1, Single Vehicle Collision with a utility pole., Likely yes, Likely yes, Potentially yes (due to damage to the pole/wires)., Yes, Truck, No," Day, likely clear", Low Res yes
000093.mp4, 2, Rear end., Potentially yes. The person on the motorcycle seems to be on the ground.," Potentially yes, given the potential for injury.", No.," Potentially yes, to investigate the accident."," Motorcycle, Van.", No.," Day, rainy."," Yes, the footage is low resolution and partially obstructed."
000094.mp4, 0, No accident detected, No, No, No, No," Sedans, SUVs, trucks, vans", No," Day, clear weather", No
000095.mp4, 2, The primary accident appears to be a collision between a large truck/semi-trailer and another vehicle. It looks like the truck impacted the median wall following the initial collision.," Based on the severity of the accident (the truck hitting a median), it is likely but can not be confirmed."," Likely, due to the severity of the crash."," Possible, due to the presence of a large truck/semi and potential for fuel leaks or fire."," Yes, to manage the accident scene, investigate the cause, and direct traffic."," Semi-truck and Sedan, with SUV type vehicles also in view of the overall incident", Unknown, Day/Clear.," Yes, the footage is low resolution and grainy."
000096.mp4,"1 (but possibly more involved initially, based on the aftermath)",Appears to be a collision resulting in loss of control and impact with a barrier. The exact initial impact type is unclear (potentially a single vehicle accident or a multi-car pile up),Unable to determine. Highly likely given the severity of the crash.,Yes (highly probable),Yes (smoke and potential fire risk),Yes (required for accident investigation and traffic management),Appears to be a box truck or larger commercial vehicle. Other vehicle types involved are unclear.,Possibly (smoke is visible),"Daytime, weather appears clear.",Yes
000097.mp4, 2," The vehicles seem to be in a side impact collision, T-bone type accident, in an intersection."," Unknown, but looks probable due to the nature of the accident."," Likely, given the potential for injury in the type of collision."," Unlikely, unless there is a vehicle fire or significant hazard."," Yes, for accident investigation and traffic control.", Appears to be a van and a scooter., No.," Daytime, rainy."," Yes, the image quality is low, making it difficult to discern details."
000098.mp4," 0 (Based on the image, there is no visible accident.)", N/A, Unknown (Cannot be determined from the image.), Unknown (Cannot be determined from the image.), No (No fire is visible.), Unknown (Cannot be determined from the image.)," Vans, Sedan, SUV, Motorcycle.", No," Night, possibly wet due to the reflections on the road", Yes
000099.mp4," Undetermined. I can only see one truck, but I cannot say for certain if another vehicle is involved.", Undetermined. I have no information about an accident from the available image., Undetermined. There is no information to determine if any injuries are involved., Undetermined., Undetermined., Undetermined., Only a truck can be identified., No.," Night, weather unclear (but appears to be clear).", Yes. The footage is low resolution and makes it difficult to gather information.
000100.mp4, I am unable to determine from the single image provided if an accident has occurred., Unable to determine., Unable to determine., Unable to determine., Unable to determine., Unable to determine.,"  I can see several vehicles including what appears to be a van, a hatchback/small car, and what looks like a bus or larger vehicle in the background.", No.," Daytime, and it appears to be raining or wet.", Yes. The footage is low resolution.
000101.mp4, 2, T-bone," Possibly (difficult to determine definitively from the footage, but the impact suggests potential injury).", Possibly (given the nature of the collision)., No (no visible fire or hazardous materials)., Yes (accident investigation and traffic management)., Van and Taxi Van, No," Day, weather appears clear."," Yes, the footage is low resolution and somewhat blurry."
000102.mp4, 2, Rear End, Unknown, Unknown, No, Unknown," Sedan, SUV", No," Day, rainy/wet", Yes
000103.mp4," 0 (Based on the frames provided, there is no accident occurring)", N/A, No, No, No, No," Several types of vehicles are visible, including vans, buses, sedans.", No," Day, clear weather.", Yes
000104.mp4, 0 (It appears to be a single vehicle on a wet road.), Unknown. Possibly loss of control., Unknown., Unknown., Unknown., Unknown., Taxi/Van, No.," Night, wet road.", Yes.
000105.mp4, 2, Side Impact (T-Bone Type)," Likely, but cannot be confirmed from the video. The pedestrian might have been hit.", Probably yes., No., Yes., Sedan and potentially a pedestrian., No.," Day and possibly rainy or wet conditions, as the road surface appears wet."," Yes. The footage is blurry, making it difficult to see details."
000106.mp4, 2, T-Bone, Yes," Yes, likely", No, Yes, Motorcycle and car, No," Day, clear", Yes
000107.mp4, I cannot determine if an accident occurred based on the given images., Cannot determine based on the given images., Cannot determine based on the given images., Cannot determine based on the given images., Cannot determine based on the given images., Cannot determine based on the given images.," The types of vehicles in the scene include van, taxi, and sedan.", No.," Day, weather appears to be wet/rainy.", Yes.
000108.mp4,2,T-bone,"Likely, but not definitively visible.","Likely, based on the presence of an ambulance in the background and the severity of the impact.","No, no sign of fire or need for extraction.","Yes, accident investigation.","Sedan, sedan.",No,"Day, rainy/wet conditions",Yes
000109.mp4, 2, T-bone (potentially), Unknown, Unknown, Unknown, Unknown, Bus and Sedan, No," Night, wet (based on road reflection)", Yes
000110.mp4, 2, T-bone, Unable to determine, Unable to determine, No, Likely, Sedan and SUV, No, Day/Clear, Yes
000111.mp4, 2, T-Bone (Inferred as the second vehicle appears to strike the side of the first)," Yes (Based on the severity of the accident, potential injury is likely)"," Yes (Based on the accident type, medical assessment is likely needed)", No (No indication of fire or entrapment), Yes (Traffic accident investigation and report are warranted), Sedan and SUV (Types based on shape and size), No (No indication of fire)," Night, Wet (Streetlights on and wet road surface are visible)", Yes (The video quality is low and blurry)
000112.mp4," 0 (Based on the visible scene, there is no visible accident.)", N/A (No accident is visible), No (No accident is visible), No (No accident is visible), No (No accident is visible), No (No accident is visible), Several cars are visible., No," Daytime, clear weather is assumed.", Yes (The footage has low resolution.)
000113.mp4," 2 (possibly more involved, but difficult to confirm with clarity)"," Based on the cars' positions and movement, it appears to be either a side impact (T-bone) or an angle collision. It is difficult to be certain from the frame.", Indeterminate. The video is not clear enough to observe any injuries to people in the shot.," Indeterminate. Given the lack of clarity in the image, the need for medical assistance cannot be determined", No. There is no visible indication of fire.," Possible. Given the accident, police presence for traffic control and investigation would likely be required, but that cannot be determined.", Primarily Sedans (possibly a hatchback)., No," Night, wet (likely raining)."," Yes, the footage is low resolution and has poor clarity."
000114.mp4, 2, T-Bone, Likely Yes (due to the nature of the impact and the potential for injuries in a T-bone accident)., Likely Yes (given the likelihood of injuries)., Possibly (depending on the severity of the damage and the risk of fire or the need for vehicle extrication).," Yes (to investigate the accident, manage the scene, and determine fault).", Sedan and possibly another sedan or hatchback., No (no visible signs of fire).," Night and wet (the road appears wet, and it's dark)."," Yes (the footage is low resolution, making details difficult to discern)."
000115.mp4, 2, T-bone, Undetermined, Undetermined, No, Likely, Small hatchback and dark-colored SUV, No," Day, weather appears clear", Yes
000116.mp4," Unknown, the accident has most likely already occured, but I cannot see it.", Unknown, Unknown, Unknown, Unknown, Unknown, At least two vehicles are visible: a yellow taxi and a white sedan., No," Night, and it appears wet (possibly raining)", Yes
000117.mp4, 2, T-bone, Undetermined, Undetermined, No, Likely," Hatchback, Sedan", No," Day, Clear", Yes
000118.mp4, 2, T-bone (it appears a motorcycle was hit on the side by a car)," Yes (likely, given the nature of the accident)"," Yes (likely, due to potential injuries to the motorcyclist)", No (no indication of fire or need for rescue equipment)," Yes (likely, for accident investigation and traffic control)"," Motorcycle, Sedan", No," Day, Clear"," Yes (the video quality is low, making it difficult to discern details)"
000119.mp4, 2, T-bone, Unknown, Unknown, No, Likely," Sedan, Van", No," Day, Rainy", Yes
000120.mp4," 0 (Based on the single frame, there is no visible accident).", N/A (No accident detected in the frame)., Unknown (No accident detected)., No (No accident detected)., No (No accident detected)., No (No accident detected).," Sedans, van", No (No fire is visible).," Day, Very heavy rain/Flooding", Yes (The footage is low resolution and visibility is poor due to the rain).
000121.mp4, 2, T-bone,"  Potentially yes (due to the nature of the impact, injuries are possible).", Potentially yes (based on the possibility of injuries)., No (there's no indication of fire or hazardous materials)., Yes (to investigate and document the accident)., Bus and Sedan, No," Day, clear", No
000122.mp4, It is impossible to say for certain but it appears there are multiple vehicles in the vicinity. Likely 2-3., It is impossible to say for certain., It is impossible to say for certain., Unknown., Unknown., Unknown.," Based on the blurry shapes and headlight patterns, there are cars, and possibly a small utility truck.", No.," Night, rainy/wet conditions."," Yes, the image is low resolution and of poor quality, making definitive analysis difficult."
000123.mp4, 3, Rear end," Likely, but cannot be confirmed"," Likely, but cannot be confirmed", No, Yes," Truck, sedan (two)", No," Day, clear", Yes
000124.mp4, 0 (There is no accident in this image), N/A, no, no, no, no," Motorcycle, bus, sedan, pickup truck", no," Day, clear", yes
