filename,Number of vehicles in accident,Accident Type,Person Injury?,Need for ambulance?,Need for firetruck?,Need for Police?,Types of vehicles involved,Fire?,Weather,Low Res/Bad Footage?
000010.mp4, 4, Chain reaction / Pile-up, Cannot determine from image., Cannot determine from image., Cannot determine from image.," Cannot determine from image, but likely."," SUVs, sedans", No," Day, weather appears clear", Yes
000011.mp4, 2, T-bone, Cannot determine from the image., Cannot determine from the image., No," Possibly, given the nature of the accident, but cannot confirm from the image."," Sedan, Taxi", No," Daytime, clear", Yes
000012.mp4, 2, T-bone, Unknown, Possible, Unlikely, Likely, sedan and light truck or SUV., No," Night, weather seems to be wet.", Yes
000013.mp4, 2, T-bone, Unknown, Unknown, Unknown, Unknown, SUV and sedan, No," Night, unclear weather conditions", Yes
000014.mp4," 2 (possibly more involved, but 2 are clearly colliding)"," T-bone (appears to be the primary impact, though secondary collisions may occur).", Cannot determine from the image., Cannot determine from the image., Cannot determine from the image.," Likely, due to the severity of the collision.", Sedan and Sedan or Small SUV., No (not visible in the images).," Day/weather is possibly wet, with glare or reflection suggesting rain or wet road surface.", Yes
000015.mp4, 0 (I see vehicles traveling in the street but no accident), Not Applicable, No, No, No," Cannot definitively determine, but unlikely based on the lack of accident.", Several sedans and a truck are visible., No," Night, likely wet due to the road's appearance."," Yes, the footage is low resolution."
000016.mp4," 0 (Based on the provided frames, there is no visible accident.)", N/A, No (No visible signs of injury.), No, No," No (But police are involved in the video, for investigation).","  Several types of vehicles are present, including a bus, sedan, and possibly other cars.", No," Day, clear weather."," Yes, the footage is low resolution."
000017.mp4, 0 (There is no accident in these frames), N/A (No accident), No (No accident), No (No accident), No (No accident), No (No accident)," SUVs, sedans, van, motorcycle", No," Day, clear", Yes (The footage has low resolution)
000018.mp4," It is impossible to tell, the vehicles are too far away.", It is impossible to tell, Unknown., Unknown., Unknown.," Unknown, although the time and date are imprinted with dubai police.", Cannot determine due to distance and blur., No.," Night, and appears to be clear.", Yes.
000019.mp4, 2, T-Bone," Likely yes, based on accident type.", Likely yes," Unknown, but possible given the severity of impact.", Yes, SUV and sedan., No," Night, wet.", Yes
000020.mp4, 0, Not applicable (no accident present), No, No, No, No," Sedan, Taxi", No," Day, clear", No
000021.mp4," 0 (Based on the visible scene, there's no indication of an accident or damage to vehicles.)", N/A (No accident is visible.), no (There are no visible injuries in the scene.), no (There's no apparent need based on the scene.), no (There's no fire or smoke.), no (There's no accident or disturbance that would necessarily require police presence.)," The vehicles visible are car, SUV, and white van.", no," Night, and the wet roads suggest rainy or recently rainy weather."," yes (The image quality is low and blurry, making detailed analysis difficult.)"
000022.mp4,2,T-bone,No (Based on visual assessment - I can't confirm),No (Based on visual assessment - I can't confirm),No,"Yes (Likely, given the nature of the accident)","Sedan, Sedan (or potentially a small hatchback)",No,"Day, Clear",Yes
000023.mp4, 2, T-bone, Unknown, Unknown, No, Likely," SUV, Truck", No," Night, clear", Yes
000024.mp4, 0," N/A, no accident detected.", no, no, no, no," The image shows multiple vehicles including sedans, vans and buses.", no," Day, clear", yes
000025.mp4, 2, T-Bone, Cannot determine from the video., Cannot determine from the video., No., Yes.," Sedan, SUV", No.," Day, Clear.", Yes.
000026.mp4, 2, Trailer detachment, Yes (person falls down), Unknown (cannot be determined from footage), No," Unknown (cannot be determined from footage, but likely due to the accident)"," Van, trailer", No," Day, clear", Yes
000027.mp4, 2, Likely a rear-end collision.," Cannot determine from image, likely yes.", Likely yes.," Cannot determine from image, unknown.", Yes.," Sedan, Truck.", No.," Day, Rainy/Wet.", Yes.
000028.mp4, 2, T-bone or broadside collision," Unknown, but possible."," Unknown, but possible given the nature of the collision."," Unlikely, unless there is smoke or fire not visible in the image."," Likely, to investigate the accident and determine fault."," 1 sedan, 1 truck", No," Daytime, likely clear weather", No.
000029.mp4, 2, T-bone," Potentially yes (due to the nature of a T-bone accident, injuries are possible)", Potentially yes (depending on the severity of impact and potential injuries), No (no visible signs of fire or hazardous materials)," Yes (to investigate the accident, determine fault, and manage traffic)"," Truck, Sedan", No," Day, appears clear", Yes
000030.mp4, 2, T-bone, Unknown, Unknown, Unknown, Likely," Truck, Sedan", No," Night, likely wet", Yes
000031.mp4, 2, Appears to be a side impact (T-bone)," Based on the visual information alone, it is difficult to determine if there were any injuries. However, given the severity of the impact, it is possible. I will say: Undetermined"," Based on the visual information alone, it is difficult to determine. However, given the severity of the impact, it is possible. I will say: Undetermined", No," Yes, given the nature of the accident, police involvement is likely.", Truck and sedan, No," Day, appears to be clear weather", Yes
000032.mp4, 2,  T-bone (based on the angle of impact),  Unknown.  The footage is too unclear to assess injuries., Unknown.  Cannot determine from the footage., No.  There is no visible fire or smoke.," Unknown.  Given the nature of a T-bone accident, police involvement for documentation and investigation would likely be needed in a real-world scenario.", Both look like sedans., No.," Day, clear.", Yes.
000033.mp4, 2, Head-on collision, likely yes, yes, potentially yes, yes," Truck, Sedan"," no, unknown"," Day, clear", yes
000034.mp4," Based on the frames, it is impossible to determine if an accident occurred at all, or the number of vehicles if one has.", Cannot be determined, Cannot be determined, Cannot be determined, Cannot be determined, Cannot be determined,"  Based on what can be seen, there appears to be an SUV and potentially other vehicles such as a sedan or truck.", No," Night, Rainy", Yes
000035.mp4, 2," I can't determine the specific type (T-bone, rear-end) due to the resolution. It appears to be an intersection collision."," Possibly. Without more information, I cannot determine if there are any personal injuries."," Potentially yes, based on the accident."," Probably no, unless there are signs of smoke or a potential fire hazard that I cannot see."," Yes, for traffic management and accident investigation."," Based on this image, it appears there are possibly cars, and a white truck.", No., Day. Weather is snowy or icy., Yes.
000036.mp4, 2, T-Bone, Yes (based on the severity of the impact), Yes (due to potential injuries), No (no visible fire), Yes (for accident investigation and traffic control)," Truck, Sedan", No," Day, clear", Yes
000037.mp4, 1, Rollover, Uncertain, Likely, Uncertain, Likely, SUV (based on appearance), No," Daytime, Weather unknown but appears to be clear", Yes
000038.mp4, 5, Chain reaction collision (multiple vehicles hitting each other), Likely yes (due to the severity of the collision), Likely yes, Possibly (depending on the risk of fire or need for extrication), Yes," Vans, Sedans, Bus, Truck", No (based on the visual)," Day, clear", Yes
000039.mp4,2,T-bone,Likely Yes,Likely Yes,No,Yes,"Van, Box Truck",No,"Day, Rainy",Yes
000040.mp4, 1, Single Vehicle Accident, Likely yes, Likely yes, Potentially yes, Yes, Truck, No," Day, Clear", Yes
000041.mp4, 1, Loss of control/Skidding, Unknown, Unknown, No, Likely, Sedan, No," Night, wet", Yes
000042.mp4, 2, T-bone, Likely yes (due to the nature of the collision), Likely yes, No (no fire visible), Yes (due to the accident and potential injuries), Sedan x 2, No," Day, clear weather", Yes
000043.mp4, 2," Side impact / ""Sideswipe""", Unknown, Unknown, No, Likely," Bus, Sedan", No," Day, Clear", Yes
000044.mp4, 2, Angle/Side Impact, Potentially yes, Potentially yes, No, Yes," Light Truck, Motorcycle", No," Day, Clear", Yes
000045.mp4, 1, Single Vehicle (Motorcycle crash), Yes, Yes, No, Yes, Motorcycle, No, Day/Clear, Yes
000046.mp4, 2, T-bone, yes, yes, no, yes," sedan, motorcycle", no," day, clear", yes
000047.mp4, 2, T-bone," Unclear, but likely given the severity", Yes," Possibly, given the debris field (hard to confirm)", Yes," SUV, Sedan", No," Day, Clear", No
000048.mp4, Potentially 2 (it appears one vehicle may have struck another)," Appears to be a possible T-bone, although more information is needed.", Cannot determine from the image., Cannot determine from the image., Cannot determine from the image., Highly likely to investigate., Sedans and possibly truck/SUV., No.," Daytime, appears to be clear weather."," Yes, the footage is low resolution, making a definitive assessment difficult."
000049.mp4,1,Pedestrian Hit,Yes,Likely yes,No,Likely yes,Motorcycle and Pedestrian.,No,"Day, clear",Yes
000050.mp4, 2, T-bone, Cannot be determined, Cannot be determined, No, Yes, SUV and Sedan., No," Day, likely clear.", Yes
000051.mp4,2,T-bone or side impact.,Yes (People are seen on the ground).,Yes (Injuries observed).,No (No evidence of fire).,Yes (Due to the accident and injuries).,Sedan/Car and Motorcycle/Scooter,No,"Day, Clear (Based on visual observation).",Yes (The video quality is low).
000052.mp4,,,,,,,,,,
000053.mp4, 2, T-bone,"  Cannot definitively determine, but likely yes", Likely yes,"  Cannot definitively determine, unlikely", Yes," Dump Truck, Cement truck.", No," Day, rainy", Yes
000054.mp4, 2, T-bone," Possibly. Due to the low resolution, it's impossible to determine if anyone is injured.", Possibly. The need for an ambulance is unknown due to the footage quality.," No. A firetruck is present, but does not appear to be there for a fire.", Likely. The severity of the collision usually warrants police involvement for investigation and traffic control., Sedan and a firetruck., No," Daytime, rainy.", Yes. The footage is low resolution and makes definitive assessment difficult.
000055.mp4," 0 (Based on these frames, no accident is observed.)", Not Applicable (No accident is observed.)," No (Based on these frames, there are no visible injuries.)", No (No obvious need for an ambulance.), No (No indication of a fire or need for a firetruck.)," Unknown (No visible police presence, need is unknown.)"," Sedans, Van, Bus, possibly a taxi in later frames.", No," Day, likely clear weather.", Yes (The footage is low resolution.)
000056.mp4, 2, Broadside/T-bone," Likely yes, based on the downed person near the van.", Likely yes, Possibly no," Likely yes, due to the accident and potential injuries.", Van and Motorcycle., No, Day/Clear," Yes, low resolution footage."
000057.mp4, 2, T-bone (Likely), Unknown, Unknown, No, Likely," Sedan, SUV", No," Night, Wet", Yes
000058.mp4, 2," It appears to be a T-bone accident, where one vehicle struck another in the side, but more detail is needed for confirmation."," Possibly yes, but not confirmed with this resolution."," Possibly yes, but not confirmed with this resolution.", No evidence of fire.," Likely yes, given the nature of the accident.", Sedan/Car and a Motorbike/Moped., No.," Night, weather is unclear, but appears clear.", Yes.
000059.mp4, 2,  T-bone (inferred from vehicle positions after impact).," Cannot definitively determine, but likely given the type of impact. Answer yes.",  Likely yes.,  Unlikely. Answer no.,"  Yes, almost certainly.", Looks like 1 sedan and 1 taxi., No., Night and clear conditions (inferred from visibility)., Yes.
000060.mp4, 2, T-bone (appears to be), Yes (people seen exiting one of the vehicles), Yes (due to the potential for injuries), No (no fire or smoke visible), Yes (accident with potential injuries requires police investigation), Sedan and Sedan, No," Night, likely clear (street appears wet, indicating possibly rain or dew)", Yes (low resolution and somewhat blurry)
000061.mp4, 2, T-bone," Likely yes, due to the severity of the impact"," Yes, likely needed due to the severity of impact."," Yes, due to the potential for fire and rescue."," Yes, due to the accident and potential injuries."," Car, taxi."," Possible, but not confirmed in this frame.", Night and looks wet, Yes.
000062.mp4,2,T-Bone,Potentially yes (based on the severity of the collision).,Likely yes (based on the severity of the collision).,Possibly (depending on potential fire hazard or need for extrication).,Yes (for accident investigation and traffic control).,Sedans.,No (not visible in the frames).,"Night, clear.",Yes
000063.mp4, 2, T-bone, Likely yes, Likely yes, Possibly no, Yes, SUV and Sedan, No," Night, clear", Yes
000064.mp4, 2, T-bone," Unknown, but likely given the severity of the impact.", Likely yes.," Possibly, depending on the severity of the damage and potential for fire, though there is no fire in the footage."," Yes, to investigate the accident.", Two Vans, No," Night, unclear", No
000065.mp4, 2, T-bone, Likely yes, Likely yes, Likely no, Yes," Van, Sedan", No," Day, snow covering ground, cloudy", No
000066.mp4, 2, T-bone, Cannot determine, Cannot determine, No, Likely, Sedans, No," Night, snow covered surfaces", Yes
000067.mp4, It's unclear if there is an accident, undetermined, undetermined, undetermined, no, undetermined, sedan, no," night, weather unclear", yes
000068.mp4,4,Chain reaction rear-end collision,"Possibly yes, based on the impact and the people moving in the last frames.",Possibly yes.,No.,Yes.,"Sedans, trucks, light commercial vehicle (box truck), white hatchback.",No.,"Day, clear weather.","No. The footage is not high resolution, but it is clear."
000069.mp4, 2, Train vs Truck," Unable to determine from the images, but highly probable due to the severity of the impact."," Yes, highly probable due to the severity of the impact."," Possibly, depending on the extent of the damage and potential hazards."," Yes, for investigation and traffic control.", Truck (semi-trailer truck) and Train (passenger train)., No evidence of fire is visible in the images.," Day. The weather appears to be clear, but frost or fog may be present.", Yes
000070.mp4, 1, Truck backing into objects and people nearby, yes, yes, no, yes, truck, no," day, clear", no
000071.mp4, 2 (based on potential movement before video stops)," Uncertain, but possibly a side-swipe or angle impact due to the vehicles' relative positions.", Unknown; can't be determined from the footage., Unknown; can't be determined from the footage., No; there's no indication of fire or hazardous materials., Possibly; the extent of the damage and potential for injuries would warrant police investigation., At least 2 Sedans based on potential movement before video stops., No.," Daytime, clear weather."," Yes, the footage is low resolution and somewhat obscured."
000072.mp4, 0, N/A, no, no, no, no," sedan, van", no," day, overcast", yes
000073.mp4," 0 (Based on the single frame, there's no visible accident occurring).", None (No accident is visible).," No (Based on the visible frame, there is no accident, so there is no visible injury)."," No (No accident, no indication of injury)."," No (No accident, no indication of fire).", No (No accident is occurring).," Bus, van, sedan.", No.," Daytime, clear.", Yes.
000074.mp4,2,T-bone,Unknown,Unknown,Unknown,Unknown,"sedan, and sedan",No,"Night, unknown weather",Yes
000075.mp4, 2, Appears to be a T-bone or side-impact collision.," Potentially yes, given the nature of the collision, but it is difficult to confirm from the image."," Potentially yes, due to the possibility of injuries."," No, there is no visible fire or indication of hazardous materials."," Yes, due to the accident involving property damage and potential injuries.", Appears to be a car/sedan and a scooter/motorbike., No.," Daytime, weather appears to be clear."," Yes, the footage is low resolution and limits accurate assessment."
000076.mp4,  0 (There doesn't appear to be an accident visible), Not Applicable (no accident is visible), No (no accident is visible), No (no accident is visible), No (no accident is visible), No (no accident is visible)," Auto rickshaws (tuk-tuks), motorcycles/scooters, cars, and a bus are visible in the scene.  I see one auto rickshaw at the bottom left and one is in the background.", No," Day, looks like clear weather.", Yes.
000077.mp4, 0, None, No, No, No, No, None, No," Night, clear", Yes
000078.mp4, 2, T-Bone," Possibly yes (due to the nature of the collision), but not definitively visible."," Possibly yes (due to the nature of the collision), but not definitively visible.", No (no visible signs of fire or hazardous materials)., Yes (likely needed to investigate the accident and determine fault).," Car, Motorcycle", No," Night, clear", Yes (the image quality is quite low and pixelated).
000079.mp4, 2 (based on the visual damage), Possibly a side impact/corner collision or near head on collision given the vehicles and their position but low resolution makes it hard to determine.," Cannot definitively say. However, a person is walking toward the vehicles so no for now.", Uncertain but leaning towards possibly., No., Likely yes., Bus and sedan, No.," Day, weather appears clear", Yes.
000080.mp4, 2, Appears to be a broadside/T-bone type collision., Yes, Yes, No, Yes," Scooter/motorcycle, Auto rickshaw.", No," Daytime, appears clear.", Yes
000081.mp4, 2," T-bone (likely, based on the position of the vehicles after the impact)"," Yes (Likely, given that at least one person seems to have fallen from a vehicle)"," Yes (Probable, considering the potential for injuries)", No (No indication of fire or need for rescue)," Yes (Standard procedure for traffic accidents, especially with injuries)"," Motorbike/Scooter and possibly a car (a white car is partially visible, but the other vehicle cannot be distinguished)", No," Day, clear (Appears to be daylight with good visibility)", Yes
000082.mp4, Unable to determine if there is an accident, Unknown, Unknown, Unknown, Unknown, Unknown," Auto rickshaws, van, SUV, motorcycles.", No," Day, appears to be clear.", Yes
000083.mp4, 2," It's difficult to determine definitively, but based on the vehicle positions, it appears to be a T-bone or side impact collision.", Unknown. The image does not provide information on this., Unknown. There's no evidence suggesting a need for an ambulance., Unknown. There's no evidence suggesting a fire or other need for a firetruck.," Likely. Given the accident, police presence would be standard for investigation and reporting.", SUV and sedan., No," Night, weather is difficult to determine.", Yes
000084.mp4, I cannot detect any accident in this scene., N/A, N/A, N/A, N/A, N/A," Various: Buses, cars (sedans and possibly SUVs), vans, motorcycles/scooters, auto rickshaws (tuk-tuks).", No.," Daytime, appears to be clear weather."," Yes, the footage is low resolution and somewhat blurry."
000085.mp4,2,Angle collision,Likely yes,Likely yes,No,Likely yes,Car and motorcycle,No,"Day, Clear",Yes
000086.mp4,2+,"Based on the visual information, it is hard to determine. Possibilities would be a side-swipe/t-bone, or possibly a collision with a fixed object, perhaps a construction vehicle/equipment, or a head-on collision.",Unknown. There is not enough resolution to determine an injury.,Unknown. There is not enough resolution to determine this.,Unknown. There is no indication of fire.,"Likely. Given the nature of the accident, police presence for investigation and traffic management is probable.",Potentially trucks or heavy machinery and the potential to be at least one other vehicle.,No. There is no visual indication of fire.,"Night, and there appears to be fog or mist.","Yes. The footage is of low resolution and poor visibility, making definitive assessment difficult."
000087.mp4, 2, Appears to be a T-bone accident.," Unknown, likely possible due to the nature of the accident."," Unknown, but likely needed due to accident type and possible injuries.", No., Yes., Sedan and a small truck., No.," Daytime, clear weather.", Yes.
000088.mp4, 0, No Accident, No, No, No, No," Buses, motorcycles, sedans, van", No," Daytime, clear weather", Yes
000089.mp4," I cannot confidently determine if an accident occurred from this image, but I can see vehicles in an intersection and skid marks on the pavement. If there was an accident it would involve potentially 2 or more cars.", It is unclear what type of accident has occurred. Possible collision types could be a T-bone or rear-end collision," Unknown, based on the image alone."," Unknown, based on the image alone.", No. I don't see any signs of fire or smoke.," Possibly. The presence of an accident, even a minor one, often requires police involvement."," Sedans, SUVs, and a possible truck. There are also motorcycles/scooters present.", No.," Daytime, weather appears to be clear."," Yes. The image is low resolution and blurry, making it difficult to discern details."
000090.mp4, 2, T-bone (appears to be), Possibly yes (based on the impact and potential for injury), Possibly yes (given potential injuries), No (no visible fire or hazardous materials), Yes (traffic accidents typically require police involvement for investigation and reporting), A vehicle that looks like a Van or small bus and a motorcycle., No, Day/Clear, Yes
000091.mp4,"1 (based on the provided frame, it appears to involve one vehicle and a pedestrian)",Pedestrian Impact,Likely yes (due to pedestrian involvement),Likely yes (due to pedestrian involvement),No,Likely yes (due to accident involving a vehicle and a pedestrian),Sedan,No,"Day, weather appears clear",Yes
000092.mp4, 1," Single vehicle, collision with pole", Unknown, Unknown," Unknown, but potentially due to downed power lines."," Yes, likely for traffic control and accident investigation.", Semi-truck, Unknown," Day, unclear weather. It appears to be overcast and potentially wet/icy."," Yes, the footage is low resolution and somewhat blurry, making definitive assessments difficult."
000093.mp4, 2, Appears to be a rear-end collision.," Likely yes, based on the person lying in the road."," Likely yes, due to the apparent injury.", No.," Likely yes, to investigate the accident.", Motorcycle/Scooter and a Van or Truck., No.," Daytime, rainy."," Yes, low resolution and partially obstructed view."
000094.mp4, 0, None, No, No, No, No," Various vehicles are present in the scene, including sedans, SUVs, trucks, and vans.", No," Day, clear weather", No
000095.mp4, 2, Jackknife accident, Unknown, Unknown, Unknown, Likely, Truck (semi-trailer) and sedan, No," Daytime, clear", Yes
000096.mp4, 2, Overturned Truck, Unable to determine.," Likely yes, based on the severity of the accident."," Likely yes, due to the smoke and potential for fire."," Yes, for traffic control and accident investigation."," Truck, and a sedan"," Possibly, smoke is present."," Day, weather appears clear.", Yes.
000097.mp4, 2," Based on the video, it appears to be a side impact/angle collision."," Potentially yes, given the nature of the collision."," Potentially yes, given the potential for injuries.", No.," Yes, to investigate the accident and manage traffic.", It appears to be a van or light commercial vehicle and a possible moped or motorcycle., No.," Day, Rainy/Wet.", Yes.
000098.mp4, I cannot determine if there is an accident or number of vehicles involved., Cannot determine, Cannot determine, Cannot determine, Cannot determine, Cannot determine," Based on the frame, I can identify: vans, sedans, SUVs, and a motorcycle.", No," Night, possibly wet streets.", Yes
000099.mp4,  Cannot determine from the image. There is 1 vehicle shown., Cannot determine from the image., Cannot determine from the image., Cannot determine from the image., Cannot determine from the image., Cannot determine from the image., Appears to be a truck with a covered bed., No.," Night, weather conditions are unclear.", Yes.
000100.mp4," I cannot confirm, there are cars in the image but I am unable to determine a collision.",  Unable to Determine, Unable to Determine, Unable to Determine, Unable to Determine, Unable to Determine," Sedan, Van.", No," Day, Raining", Yes
000101.mp4, 2, T-bone, Likely yes (due to the severity of the impact), Likely yes, Unlikely, Likely yes (due to accident investigation), Van and small Passenger Van/Taxi, No," Day, clear", Yes
000102.mp4, 2 (possibly more with obscured views), Possibly rear-end or a sideswipe. The exact nature of the collision is difficult to determine with certainty from the image., Cannot be determined with certainty from the image., Cannot be determined with certainty from the image., No.," Cannot be determined with certainty from the image, but likely, given the accident.",  Sedans and potentially other types that are obstructed from view., No.," Daytime, Wet/Rainy.", Yes.
000103.mp4, 2, T-bone, I cannot determine this from the video., I cannot determine this from the video., No., I cannot determine this from the video., It appears to be two sedans., No.," Day, clear weather.", Yes.
000104.mp4, 0 (I see one vehicle driving and no indication of an accident), N/A (No accident is apparent), No, No, No, No, Appears to be a van or small bus/shuttle., No," Night, wet/rainy", Yes
000105.mp4, 2, T-bone," Possibly, cannot determine with certainty from the footage."," Possibly, given the T-bone type accident, there is a need for medical attention."," No, fire is not apparent."," Likely yes, due to the accident and need for investigation and traffic control.", Sedan and Possibly a Van or SUV., No," Day, possibly overcast or rainy, visibility is reduced."," Yes, the footage is low resolution and somewhat blurry."
000106.mp4, 2, T-bone, Yes, Yes, No, Yes, Motorcycle and car (red sedan or compact truck), No, Day/Clear, Yes
000107.mp4, 0, N/A, no, no, no, no," The visible vehicles include a van, taxis, and sedans", no, Day/Rainy, yes
000108.mp4, 2, T-bone, Likely yes (due to the severity of the impact), Yes (based on the presence of an ambulance in the background and likely injuries), Unlikely (no visible fire or indication of need)," Yes (standard procedure for traffic accidents, especially with injuries)", Sedans, No," Day, likely rainy or wet (based on the road surface)", Yes (the footage is low resolution and somewhat blurry)
000109.mp4, 2, T-bone, Likely yes (due to the nature of the collision), Likely yes, Unlikely, Yes, Bus and sedan, No," Night, possibly wet (road appears reflective)", Yes
000110.mp4, 2, T-bone, Likely yes (due to the nature of the collision), Likely yes, Likely no (based on the lack of visible fire or smoke), Yes (standard procedure for accidents), Sedan and possibly a light commercial vehicle (like a van or small truck)., No," Daylight, appears clear", Yes
000111.mp4, 2, T-Bone, Likely yes (due to the force of impact and type of accident), Likely yes (given potential injuries), No (no visible fire or smoke), Yes (accident investigation), Sedan and SUV, No," Night, wet (likely raining)", Yes
000112.mp4, 0, N/A, No, No, No, No," Appears to be cars, vans/small trucks.", No," Daytime, appears to be clear.", Yes
000113.mp4, 1, Pedestrian collision, yes, yes, no, yes, sedan, no," Night, rain", yes
000114.mp4, 2," T-Bone (possible, but obscured by the quality of the footage)", Possibly. The clarity is not great.," Possibly. If it's a T-bone collision, there is a good chance it is needed.", Unlikely.," Yes. Accidents should be reported to the police, particularly if there is any significant damage to property or injury.", At least two cars/sedans are involved, No.," Night, wet road/possible rain.", Yes.
000115.mp4, 2, Side swipe., Unknown, Unknown, No, Probable," Sedan, Hatchback.", No," Day, clear", Yes
000116.mp4," Cannot determine. The image shows multiple cars, but whether or not they were involved in a collision is unknown."," Unknown, cannot be determined from the image.", Cannot be determined., Cannot be determined., Cannot be determined., Cannot be determined.," The image shows what appear to be sedans, possible taxis, and possibly SUVs. Specific models cannot be identified.", No.," Night, possibly wet/rainy streets.", Yes.
000117.mp4, 2, T-Bone, Undetermined, Undetermined, No, Likely," Hatchback, Sedan", No," Day, Clear", Yes
000118.mp4,2,T-bone,"Yes (likely, due to motorcycle involvement)",Yes (likely),No (no visual indication of fire),Yes (standard for traffic accidents),Motorcycle and Van,No,"Day, clear",Yes
000119.mp4,2,Side impact/T-bone (based on the visible collision),Unknown (cannot be determined from the visual data),Unknown (cannot be determined from the visual data),No (no fire is visible),"Likely (due to the accident, police involvement would be probable)",Appears to be two passenger vehicles. One appears to be a minivan/van and the other a sedan/coupe.,No,"Day, rainy/wet",Yes
000120.mp4, 0 (No apparent accident), N/A, No (Not apparent), No (Not apparent), No (Not apparent), No (Not apparent)," Sedans, van", No," Daytime, heavy rain/flooding", Yes
000121.mp4, 2, T-bone, Uncertain, Possible, No, Yes, Bus and sedan, No," Day, clear", Yes
000122.mp4," 1 (While there are other vehicles in the scene, only one appears to be involved in a potential issue/incident.)", Cannot be determined. The frame is too blurry and distant to identify any specific collision type., Cannot be determined. The frame doesn't provide enough detail to assess injuries., Cannot be determined., Cannot be determined., Cannot be determined., Appears to be a car or possibly a small SUV., No.," Night, and it appears to be raining heavily (or the road is very wet).", Yes. The footage is low resolution and suffers from poor visibility due to darkness and rain.
000123.mp4, 3, Rear-end, Unknown, Unknown, No, Unknown," Truck, Sedan", No," Day, Clear", Yes
000124.mp4, 0, None. The image shows an empty road and a single small vehicle approaching the intersection. There is no collision visible., No. There is no accident., No, No, No," One small vehicle, similar in size to a go-kart is visible. Other vehicles are in the background in a parking lot, but none are involved in a collision.", No," Daytime, weather appears clear."," Yes, the footage is low resolution."
000125.mp4, 2, T-bone, Likely yes (due to the motorcycle being involved in a T-bone style accident), Likely yes (due to the probability of person injury above), No, Yes," Motorcycle, sedan", No," Day, likely clear (visibility is good)", Yes
000126.mp4, 2, T-bone, Likely yes, Likely yes, No, Yes," Bus, Motorcycle", No," Day, clear", Yes
000127.mp4, 2, T-bone, Unknown, Unknown, Unknown, Unknown, Sedan and Truck., No," Night, Clear", Yes
000128.mp4, 2, T-bone or side impact., Unknown., Unknown., No., Possibly.," Cargo Van/Small Box Truck, Sedan.", No.," Day, snowy/wintery conditions.", Yes.
000129.mp4, 2, T-bone, Possibly (Difficult to determine definitively from the image), Possibly (Given the severity of the impact), Yes (A firetruck is present at the scene)," Yes (Likely, given the nature of the accident)", Sedan and Possibly a SUV or similar type, No (No visible flames)," Day, clear weather", No
000130.mp4, 0, None, No, No, No, No,"  SUVs, vans, sedan,", No," Day, snowy", Yes
