,Number of vehicles in accident,Accident Type,Person Injury? ,Need for ambulance?,Need for firetruck?,Need for Police?,Types of vehicles involved,Fire?,Weather,Low Res/Bad Footage?,Other
58,2,t-bone (angled),Yes,Yes,No,Yes,"taxi sedan, sedan",No,Night,No,Strong hit at busy intersection
59,2,T-bone,Yes,Yes,No,Yes,sedan x2,No,Night,No,Happened at an intersection
60,2,T-bone,Yes,yes,No,Yes,sedan x2,No,Night,No,"Multiple passengers were in one vehicle, accident was clearly shown to stop a lot of traffic immediately"
61,2,T-bone,Yes,Yes,Yes,Yes,"sedan, truck",No,Cloudy day?,No,Truck hits sedan and drags the sedan off the road - serious damage occurred
62,2,T-bone (high speed),Yes,yes,No,Yes,sedan x2,No,Night,No,Sedan that was at fault was definitely speeding here - high impact
63,2,T-bone,Yes,Yes,No,Yes,"sedan, police sedan",No,Night,No,Police car had lights on and hit sedan that seemed to be unaware of this
64,2,rear-end,Yes,Yes,No,Yes,"sedan, van",No,Night,No,sedan hits van strongly at a light
65,2,t-bone (light tap),Yes,Yes,No,Yes,van x2,No,"Day, snowy",No,"it looks that one van lost control and went straight thru the intersection, resulting in the other van hitting it"
66,2,Front-end,Yes,Yes,No,Yes,suv x2,No,"Night, snowy",No,probably was caused by lack of control
67,1,car against pedestrian,Yes,Yes,No,Yes,suv,No,Night,No,Car hits pedestrian extremely hard - medical attention is vital
68,4,rear-end,Yes,Yes,No,Yes,"18-wheeler x2, sedan x2",No,"day, clear",No,One rear end collision leads to domino effect
69,2,t-bone,No,No,No,Yes,"18-wheeler, train",No,"Day, clear",No,"Train hits 18-wheeler's trailer, so no person injuries but lots of debris"
70,1 (maybe more?),spin-out?,No,No,No,Yes,truck,No,"Day, clear",No,Truck loses control and crashes into a parking lot - unclear whether or not other vehicles were hit
71,2,angled t-bone?,Yes,Yes,No,Yes,"van, buggy?",No,"Day, clear",No,"Van crashes into small ""buggy"" and topples it over"
72,2,t-bone,Yes,Yes,No,Yes,"van, bus",No,"Day, clear",No,Bus t-bones van at intersection that is mildly busy
73,2,rear-end,Possibly,Yes,No,Yes,bus x2,No,"Day, clear",No,Bus rear-ends anotheer bus at large straightaway
74,2,t-bone?,Yes,Yes,No,Yes,"sedan, bike?",No,Night,No,"It's hard to tell from the footage, but it seems that a sedan either hit a bike or a pedestrian at an intersection"
75,2,cause unknown,No,No,No,No,"sedan, bike?",No,"Day, clear",Yes,"It looks like a sedan hit a bike, but footage is too grainy to tell"
76,2,side-on-side collision,Yes,Yes,No,Yes,sedan x2,No,"Day, clear",No,Person seemed to have ejected from one of the vehicles in the midst of the collision
77,1,topple,Yes,Yes,No,Yes,truck,No,Night,No,Truck topples over whilst crossing an intersection
78,2,side-on-side collision,Yes,Yes,No,Yes,"sedan, bike",No,Night,No,Sedan topples over cyclist
79,2,t-bone,Yes,Yes,No,Yes,"bus, bike",No,"Day, clear",No,Bus hits biker and topples the biker - it is likely that medical attention is needed
80,1,topple,No,No,No,No,scooter,No,"Day, clear",No,Scooter topples over in intersection. It seems that the user can just pick up and carry on. Nothing should be necessary
81,1,cause unknown,No,No,No,No,bike,No,"day, clear",No,"bike seemed to have toppled over before the time of the footage, but this small accident was cleaned up before anything serious happened"
82,1,cause unknown,No,No,No,No,scooter,No,"Day, clear",No,"scooter seemed to topple over, but no harm seemed to have been done"
83,2,t-bone (angled0,Possibly,Yes,No,Yes,"sedan, suv",No,Night,No,collision happened at 2 lane road
84,2,rear-end,No,No,No,Yes,"bus, van",No,Day,No,"happened at congested area, so there could be more involved in the accident"
85,1,cause unknown,No,No,No,No,scooter?,No,Day,Yes,"Although the cause is unknown, it seems that a bike toppled over at an intersection"
86,2,T-bone,Yes,Yes,No,Yes,"bus, sedan",No,Night,No,"There don't seem to be many streetlights here, so it was hard to see specific vehicles"
87,2,rear-end,No,No,No,Yes,"sedan, scooter",No,Day,No,Nobody seemed to be hurt by the end. Happened close to an intersection
88,2,T-bone,Yes,Yes,No,Yes,suv x2,No,Day,No,"Happened at a busy intersection, mild impact"
89,1,topple,No,No,No,No,motorbike,No,Day,No,"Simple topple at an intersection, nothing to be done"
90,2,light t-bone,Yes,Yes,No,Yes,"bus, motorbike",No,Day,No,"Although light impact, motorcyclist probably needs medical attention"
91,2,light t-bone,No,No,No,Yes,"buggy?, motorbike",No,Day,No,"It doesn't look like anyone was hurt, but send over police just in case"
92,1,topple,Yes,Yes,No,Yes,18-wheeler,No,Day,No,18-wheeler took a sharp turn and toppled - debris present and damage to city inflicted
93,1,rear-end,No,No,No,No,"bike, truck",No,Day,No,Bike hits truck lightly. Cyclist can like just get up and move on
94,0,N/A,No,No,No,No,N/A,No,"Day, clear",No,No accident occurred
95,2 (likely more),topple,Yes,Yes,Yes,Yes,"18-wheeler, sedan",No,"Day, cloudy",No,18-wheeler topples on interstate and hits other vehicles in the process. Debris present. Maximum assistance is needed
96,2 (likely more),topple,Yes,Yes,Yes,Yes,"18-wheeler, sedan",No,"Day, cloudy",No,18-wheeler (again) topples on interstate and hits other vehicles in the process. Debris present. Maximum assistance is needed
97,2,light t-bone,No,No,No,Yes,"18-wheeler, van",No,"Day, rainy",No,"happened at intersection, light impact"
98,2,light t-bone,Possibly,Yes,No,Yes,"bike, suv",No,"Rainy, cloudy day",No,Suv hits cyclist - cyclist could be injured so medical assistance is necessary
99,2,t-bone (angled),No,No,No,Yes,"suv, bus",No,Night,No,suv ran a red light and hit the bus lightly
100,2,rear-end,No,No,No,Yes,suv x2,No,"Rainy, cloudy day",No,light/mild rear end collision near a traffic light
101,2,t-bone,Yes,Yes,No,Yes,"bike, 18-wheeler?",No,Cloudy day?,No,"big vehicle looks to have run a red light and, as a result, the biker hits the vehicle"
102,2,angled t-bone,Yes,Yes,No,Yes,"bus, sedan",No,Cloudy,No,super busy intersection
103,2,rear-end,No,No,No,No,sedan x2,No,"Day, clear",No,super busy intersection
104,2,angled t-bone,Yes,Yes,No,Yes,"suv, sedan",No,Night,Yes,extremely difficult to see
105,2,t-bone,Yes,Yes,No,Yes,"bike, suv",No,Day,No,"bike runs into suv, only biker seems injured"
106,2,t-bone,Yes,Yes,No,Yes,"bike, truck",No,Day,No,Truck runs into bike
107,3,rear-end,Yes,Yes,No,Yes,"sedan x2, bus",No,Day,No,Bus runs into sedan which runs into other sedan
108,1,loss of control,Yes,Yes,No,Yes,sedan,No,Day,No,car runs into median in city
109,2,t-bone,Yes,Yes,No,Yes,"sedan, bus",No,Night,No,sedan runs into bus at non-busy intersection
110,1,topple,Yes,Yes,No,Yes,bike,No,Day,No,"Bike topples over, injury seems minor, unknown if any other vehicle was involved"
111,2,t-bone,Yes,Yes,No,Yes,van x2,No,Night,Yes,The glare makes it difficult to tell what exactly happened
112,N/A,N/A,No,No,No,No,N/A,No,Day,No,No accident occurred
113,2,rear-end,No,No,No,No,"sedan, suv",No,Night,No,Fender Bender
114,2,rear-end,No,No,No,No,"sedan, suv",No,Night,No,Fender Bender
115,2,slight t-bone,No,No,No,Yes,"sedan, van",No,Day,No,Roundabout
116,2,t-bone,Yes,Yes,No,Yes,van x2,No,Day,No,intersection
117,2,slight t-bone,No,No,No,Yes,sedan x2,No,Day,No,intersection
118,2,rear-end,Yes,Yes,No,Yes,"motorbike, suv",No,Day,No,Motorcyclist runs into suv and falls off
119,2,t-bone,Yes,Yes,No,Yes,sedan x2,No,"Day, rainy",No,intersection/roundabout
120,2,t-bone,Yes,Yes,No,Yes,van x2,No,"Day, rainy",No,intsection at a light
121,2,t-bone,Yes,Yes,No,Yes,"suv, sedan",No,"Day, clear",No,intersection
122,2,t-bone,Yes,Yes,No,Yes,sedan x2,No,Night,Yes,intersection
123,2,light side-on-side collision,No,No,No,Yes,"sedan, bus",No,Day,No,light tap
124,2,t-bone,Yes,Yes,No,Yes,suv x2,No,"Day, cloudy",No,hit car spins out
125,2,front-end collision,Yes,Yes,No,Yes,"truck, bike",No,"Day, cloudy",No,truck hits and topples bike
126,2,rear-end collision,Yes,Yes,No,Yes,"bus, bike",No,"Day, cloudy",No,near intersection
127,2,t-bone,Yes,Yes,No,Yes,sedan x2,No,Night,No,little/no traffic
128,2,rear-end,Yes,Yes,No,Yes,"sedan, van",No,"Day, snowy",No,lots of traffic
129,2,t-bone,Yes,Yes,No,Yes,"truck,sedan",No,"Day, clear",No,intersection
130,2,light t-bone,No,No,No,Yes,suv x2,No,"Day, snowy",No,intersection
131,3,light t-bone,No,No,No,Yes,sedan x3,No,"Night, snowy",No,intersection
132,2,light t-bone,No,No,No,Yes,sedan x2,No,"Night, snowy",No,intersection
133,3,t-bone,Yes,Yes,No,Yes,"sedan x2, bus",No,"Night, snowy",No,sedan hits other sedan into bus on intersection
134,2,angled t-bone,Yes,Yes,No,Yes,sedan x2,No,"Day, snowy",No,intersection
135,3,angled t-bone,Yes,Yes,No,Yes,sedan x3,No,"Night, snowy",No,"intersection, light traffic"
136,5,spin out into front-end collision,Yes,Yes,Yes,Yes,"suv x2, bike x2, bus",No,"Day, clear",No,"main collision is with the two vehicles, the other three got caught in the crossfire. Damage is great"
137,N/A,N/A,No,No,No,No,N/A,No,"Day, rainy",No,no accident occurred
138,3,front-end collision,Yes,Yes,No,Yes,sedan x2,No,Day,No,intersection with traffic
139,2,spin-out into light t-bone,Yes,Yes,No,Yes,sedan x2,No,"Day, rainy",No,driver lost control and tapped other driver
140,1,front-end collision into object,Yes,Yes,No,Yes,sedan,No,Night,No,driver loses control and hits a pole
141,2,front-end collision,Yes,Yes,No,Yes,sedan x2,No,"Day, clear",No,little traffic
142,2,angled t-bone,Yes,Yes,No,Yes,sedan x2,No,"Night, clear",No,"intersection, driver ran a red light"
143,1,light pedestrian collision,No,No,No,Yes,suv,No,"Day, clear",No,suv hits two pedestrians lightly
144,1,pedestrian collision,Yes,Yes,No,Yes,truck,No,Day,Yes,truck hits two pedestrians and hits a tree
145,2,light t-bone,Yes,Yes,No,Yes,"18-wheeler, suv",No,"Day, clear",No,SUV hits truck
146,1,top collision,No,Yes,No,Yes,commercial truck,No,"Day, clear",No,Commercial truck does not make clearance
147,6,topple,Yes,Yes,Yes,Yes,"dump truck, sedan x4, van",No,Day,No,Dump truck topples over and damages adjacent vehicles. Damage is high
148,2,angled t-bone,Yes,Yes,No,Yes,sedan x2,No,"Day, clear",No,intersection
149,9+,cause unknown,Yes,Yes,Yes,Yes,"sedans, suvs, truck",No,"Day, snowy",No,"Unknown what happened, poor road conditions"
150,1,spin-out,No,No,No,No,sedan,No,"Night, clear",No,"possibly a small collision, but hard to tell from footage"
151,1,pedestrian collision,Yes,Yes,No,Yes,suv,No,"Day, clear",No,backs into pedestrian
152,N/A,N/A,No,No,No,No,N/A,No,"Day, clear",No,No accident occurred
153,1,spin-out,No,No,No,No,sedan,No,"Night, clear",No,"No damage occurs, no traffic"
154,2,t-bone,Yes,Yes,No,Yes,suv x2,No,"Day, clear",No,intersection
155,1,spin-out,Yes,Yes,No,Yes,sedan,No,"Day, rainy",No,probably slippery
156,1,pedestrian collision,Yes,Yes,No,Yes,train,No,"Day, clear",No,big vehicle hits person
157,2,side-on-side collision,Yes,Yes,No,Yes,"motorbike, sedan",No,"Day, clear",No,"intersection, medium traffic"
158,2,side-on-side collision,Yes,Yes,No,Yes,"motorbike, sedan",No,"Day, clear",No,interstate or highway
159,2,t-bone,Yes,Yes,No,Yes,suv x2,No,"Night, clear",No,intersection
160,2,t-bone,Yes,Yes,No,Yes,"motorbike, sedan",No,"Day, rainy",No,Intersection
161,2,t-bone,Yes,Yes,No,Yes,"motorbike, sedan",No,"Day, rainy",No,Intersection
162,2,rear-end collision,Yes,Yes,No,Yes,"motorbike, sedan",No,"Day, rainy",No,highway or interstate
163,2,t-bone,Yes,Yes,No,Yes,sedan x2,No,Night,Yes,intersection
164,4,rear-end collision,Yes,Yes,Yes,Yes,sedan x4,No,"Night, clear",No,initial collision into other collisions
165,2,rear-end collision,Yes,Yes,No,Yes,"sedan, suv",No,"Day, clear",No,interstate or highway
166,1,pedestrian collision,Yes,Yes,No,Yes,sedan,No,"Night, clear",No,pedestrian seems extremely hurt
167,1,light pedestrian collision,No,No,No,No,sedan,No,"Day, clear",No,no injuries seen
168,2,t-bone,Yes,Yes,No,Yes,"motorbike, suv",No,"Night, clear",No,intersection
169,2,t-bone,Yes,Yes,No,Yes,"van, truck",No,"Day, clear",No,intersection
170,3,rear-end collision,Yes,Yes,No,Yes,"suv x2, bike",No,"Night, clear",No,medium traffic
171,2,t-bone,Yes,Yes,No,Yes,suv x2,No,"Night, clear",No,"intersection, no traffic"
172,N/A,N/A,No,No,No,No,N/A,No,"Day, clear",No,no accident occurred
173,2,t-bone,Yes,Yes,No,Yes,"truck, sedan",No,"Day, clear",No,"intersection, heavy traffic"
174,2,t-bone,Yes,Yes,No,Yes,sedan x2,No,"Night, clear",No,"intersection with light, heavy traffic"
175,2,angled t-bone,Yes,Yes,No,Yes,sedan x2,No,"Night, clear",No,intersection with light
176,2,t-bone,Yes,Yes,No,Yes,sedan x2,No,"Day, clear",No,intersection
177,2,t-bone,Yes,Yes,No,Yes,"sedan, suv",No,"Day, clear",No,intersection
178,2,light t-bone,Yes,Yes,No,Yes,sedan x2,No,"Day, clear",No,intersection
179,2,t-bone,Yes,Yes,No,Yes,sedan x2,No,"Night, clear",No,interseciton
180,2,angled t-bone,Yes,Yes,No,Yes,"suv, sedan",No,"Day, clear",No,intersection
181,2,angled t-bone,Yes,Yes,No,Yes,"suv, sedan",No,"Night, clear",No,intersection
182,2,t-bone,Yes,Yes,No,Yes,suv x2,No,"Night, clear",Yes,"intersection, heavy traffic"
183,1,pedestrian collision,Yes,Yes,Yes,Yes,sedan,No,"Day, clear",No,person injury level probably severe
184,2,angled t-bone,Yes,Yes,No,Yes,"truck, 18-wheeler",No,"Day, clear",No,"intersection, heavy traffic"
185,2,cause unknown,Yes,Yes,Yes,Yes,"van, truck",No,"Night, clear",No,damage high
186,2,rear-end collision,Yes,Yes,No,Yes,18-wheeler x2,No,"Night, clear",No,interstate or highway
187,2,t-bone,Yes,Yes,Yes,Yes,sedan x2,No,"Night, clear",No,intersection
188,1,spin-out,No,No,No,Yes,sedan,No,"Night, clear",No,low damage
189,2,t-bone,Yes,Yes,No,Yes,"sedan, bike",No,"Night, clear",Yes,intersection
190,1,object collision,No,No,No,Yes,suv,No,"Day, clear",No,car hits sign
191,3,t-bone,Yes,Yes,No,Yes,"bus , sedan x2",No,"Day, clear",No,cars hit bus that spun out
192,2,rear-end collision,Yes,Yes,No,Yes,sedan x2,No,"Night, clear",No,interseciton
193,2,pedestrian collision,Yes,Yes,No,Yes,"bike, bus",No,"Day, clear",No,bike hits pedestrian who then gets hit by bus
194,2,rear-end collision,No,No,No,Yes,bike x2,No,"Day, clear",No,little to no injury and damage
195,2,side-on-side collision,Yes,Yes,No,Yes,"van, bike",No,"Day, clear",No,intersection
196,2,t-bone,Yes,Yes,No,Yes,"bike, van",No,"Day, snowy",No,intersection
197,2,light t-bone,No,No,No,No,bike x2,No,"Day, clear",No,little to no injury or damage
198,2,side-on-side collision,Yes,Yes,No,Yes,"sedan, bike ",No,"Day, clear",No,highway or interstate
199,2,t-bone,Yes,Yes,No,Yes,"sedan, bike",No,"Day, clear",No,intersection
200,2,side-on-side collision,Yes,Yes,No,Yes,"sedan, bike",No,"Day, clear",No,intersection
